City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
534,Ligayan,PH,4.6533,119.4706,82.02,72,94,0.74,overcast clouds,2022-04-14 03:00:51
535,Kassala,SD,15.451,36.4,83.05,41,9,11.63,clear sky,2022-04-14 03:00:52
536,Oyama,JP,36.3,139.8,58.59,65,100,8.84,light rain,2022-04-14 03:00:52
537,Sept-Iles,CA,50.2001,-66.3821,34.32,80,75,4.61,broken clouds,2022-04-14 02:57:19
538,Maloy,NO,61.9353,5.1136,39.72,85,9,8.97,clear sky,2022-04-14 03:00:53
539,Bend,US,44.0582,-121.3153,36.68,68,40,10.36,scattered clouds,2022-04-14 02:57:15
540,Burnie,AU,-41.0667,145.9167,66.92,64,100,9.51,overcast clouds,2022-04-14 03:00:53
541,Teahupoo,PF,-17.8333,-149.2667,78.76,73,40,20.58,scattered clouds,2022-04-14 03:00:54
542,Sande,DE,53.5049,8.0142,51.03,93,100,6.87,overcast clouds,2022-04-14 03:00:54
543,Ponta Do Sol,PT,32.6667,-17.1,63.01,82,55,1.9,broken clouds,2022-04-14 03:00:55
544,At-Bashi,KG,41.1702,75.8106,50.36,48,91,4.97,overcast clouds,2022-04-14 03:00:55
545,Orumiyeh,IR,37.5527,45.0761,39.65,65,2,2.44,clear sky,2022-04-14 03:00:56
546,Mount Gambier,AU,-37.8333,140.7667,72.7,29,100,6.98,overcast clouds,2022-04-14 03:00:56
547,Kollam,IN,8.8833,76.6,78.31,86,100,3.76,moderate rain,2022-04-14 03:00:57
548,Waddan,LY,29.1614,16.139,69.31,18,36,24.52,scattered clouds,2022-04-14 03:00:57
549,Dhidhdhoo,MV,6.8833,73.1,82.94,71,100,4.41,overcast clouds,2022-04-14 02:59:53
550,Safaga,EG,26.7292,33.9365,66.31,45,2,16.96,clear sky,2022-04-14 03:00:58
551,Tukrah,LY,32.5341,20.5791,61.86,46,100,18.12,overcast clouds,2022-04-14 03:00:58
552,Zhanakorgan,KZ,43.9098,67.2495,69.93,36,7,5.23,clear sky,2022-04-14 03:00:59
553,Boa Vista,BR,2.8197,-60.6733,80.58,74,0,13.8,clear sky,2022-04-14 03:00:59
554,Lodja,CD,-3.4833,23.4333,68.38,99,100,1.74,light rain,2022-04-14 03:01:00
555,Ormara,PK,25.2088,64.6357,79.56,77,0,3.74,clear sky,2022-04-14 02:58:58
556,Lukiv,UA,51.0521,25.4006,38.25,78,11,0.76,few clouds,2022-04-14 02:59:59
557,Lodingen,NO,68.414,15.9951,32.38,84,91,1.21,overcast clouds,2022-04-14 03:01:01
558,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.09,98,51,0.54,broken clouds,2022-04-14 03:01:01
559,Pacific Grove,US,36.6177,-121.9166,54.01,77,21,3.0,few clouds,2022-04-14 03:01:02
560,Gazli,UZ,40.1333,63.45,70.63,39,6,13.78,clear sky,2022-04-14 03:01:03
561,Umm Kaddadah,SD,13.6017,26.6876,75.92,13,28,16.33,scattered clouds,2022-04-14 03:01:03
562,Bahia Honda,CU,22.9036,-83.1592,74.61,86,1,4.9,clear sky,2022-04-14 03:01:04
563,Salalah,OM,17.0151,54.0924,79.54,71,3,2.93,clear sky,2022-04-14 03:01:04
564,Kovdor,RU,67.5662,30.4758,27.88,98,100,2.3,light snow,2022-04-14 03:01:05
565,Atambua,ID,-9.1061,124.8925,83.75,63,98,3.33,overcast clouds,2022-04-14 03:01:05
566,Mnogovershinnyy,RU,53.9353,139.9242,26.89,69,5,5.93,clear sky,2022-04-14 03:01:06
567,Russell,US,32.3502,-85.1999,69.96,80,20,5.75,light intensity drizzle,2022-04-14 03:00:23
568,Fuling,CN,29.7022,107.3919,63.73,91,100,2.42,overcast clouds,2022-04-14 03:01:07
569,Cao Bang,VN,22.6667,106.25,85.14,53,26,5.5,scattered clouds,2022-04-14 03:01:09
570,Severnyy,RU,50.677,36.5532,44.64,87,100,13.42,overcast clouds,2022-04-14 03:01:09
571,Catuday,PH,16.2923,119.8062,82.71,67,15,9.57,few clouds,2022-04-14 03:01:10
572,Paducah,US,37.0834,-88.6001,57.33,89,100,11.5,overcast clouds,2022-04-14 03:01:11
573,Lebanon,US,36.2081,-86.2911,61.56,98,100,8.05,mist,2022-04-14 03:00:23
574,Susanville,US,40.4163,-120.653,39.67,57,90,5.01,overcast clouds,2022-04-14 02:56:35
575,Hokitika,NZ,-42.7167,170.9667,60.37,60,2,4.18,clear sky,2022-04-14 03:01:12
576,Arlit,NE,18.7369,7.3853,82.45,10,33,4.45,scattered clouds,2022-04-14 03:01:12
577,Baykit,RU,61.67,96.37,37.11,84,100,13.56,overcast clouds,2022-04-14 03:01:12
578,Winchester,GB,51.0651,-1.3187,48.47,91,52,1.92,broken clouds,2022-04-14 03:00:22
579,Muyuka,CM,4.2898,9.4103,75.15,98,100,1.81,moderate rain,2022-04-14 03:01:14
580,Tambo,PE,-14.8,-73.9167,37.42,44,0,5.26,clear sky,2022-04-14 03:01:14
581,Hay River,CA,60.8156,-115.7999,6.87,93,52,4.88,broken clouds,2022-04-14 03:01:15
582,Vila Franca Do Campo,PT,37.7167,-25.4333,55.81,82,19,6.62,few clouds,2022-04-14 03:01:15
583,Nouakchott,MR,18.0858,-15.9785,69.73,77,0,15.5,clear sky,2022-04-14 03:01:16
584,Komsomolskiy,UZ,40.4272,71.7189,68.72,45,6,4.61,clear sky,2022-04-14 03:01:16
585,Ballarat,AU,-37.5662,143.8496,70.48,36,78,7.7,broken clouds,2022-04-14 03:01:17
586,Camargo,MX,27.6667,-105.1667,70.81,13,3,8.79,clear sky,2022-04-14 03:01:17
